Date,SalesRepID,SalesRep,SalesRepPhone,SalesRepBranch,SalesRepEmail,ProductID,Product,CustomerID,Customer,CustomerRegion,Units,UnitPrice,TotalRevenue
01/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR001,Rice,C001,White Rock Ltd,MEA,4,75.8,303.2
02/01/2019,EM002,Natasha Whyte,44123456782,Bristol,natasha.whyte@groceryplace.com,PR002,Semolina,C002,Sterling Homes Pty,United States,2,66,132
02/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR003,Wheat,C003,Holmes View Plc,Europe,1,23,23
02/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR003,Wheat,C004,Nested Shelters,Europe,2,48,96
02/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR004,Corn Flakes,C005,Prime Waters Ltd,United States,4,120,480
03/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR005,Milo,C006,Jameson & Sons,Australia,2,159.9,319.8
03/01/2019,EM003,Mike Abdul,44123456783,New Hampshire,mike.abdul@groceryplace.com,PR006,Milk,C007,Art House Publications,MEA,3,68.85,206.55
04/01/2019,EM004,Sylvester Chan,44123456784,Manchester,sylvester.chan@groceryplace.com,PR007,Five Alive,C008,Bunkmates LLC,Australia,15,327,4905
04/01/2019,EM005,Francis Stallone,44123456785,Manchester,francis.stallone@groceryplace.com,PR008,Power Oil,C004,Nested Shelters,Europe,2,48,96
04/01/2019,EM006,Pauline Nduka,44123456786,New Hampshire,pauline.nduka@groceryplace.com,PR008,Power Oil,C005,Prime Waters Ltd,United States,2,50,100
04/01/2019,EM007,Christy Okon,44123456787,Manchester,christy.okon@groceryplace.com,PR009,Spaghetti,C001,White Rock Ltd,MEA,2,40,80
04/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR006,Milk,C002,Sterling Homes Pty,United States,2,45.9,91.8
04/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR001,Rice,C003,Holmes View Plc,Europe,6,119.7,718.2
05/01/2019,EM008,Isabel Wright,44123456788,London,isabel.wright@groceryplace.com,PR005,Milo,C004,Nested Shelters,Europe,4,311.8,1247.2
05/01/2019,EM009,Betty Champ,44123456789,London,betty.champ@groceryplace.com,PR006,Milk,C005,Prime Waters Ltd,United States,3,68.85,206.55
05/01/2019,EM001,Cameron Diaz,44123456781,Bristol,cameron.diaz@groceryplace.com,PR008,Power Oil,C006,Jameson & Sons,Australia,2,48,96
